NAME,PCID,AgencyDesc,AGID,Longitude,Latitude
Lemon Grove,OSD,LEMON GROVE,C,-117.0320661,32.73422723
Leucadia,OSD,LEUCADIA,C,-117.302242,33.06418721
Lindsay,OCA,LINDSAY,C,-119.0913655,36.20494697
Little River,OMD,LITTLE RIVER,C,-123.7902835,39.2722847
Livermore,OSF,LIVERMORE,C,-121.7683539,37.68202902
Locke,OCA,LOCKE,C,-121.5099369,38.25004295
Lodi,OCA,LODI,C,-121.2791829,38.13566894
Loleta,OHB,LOLETA,C,-124.2263531,40.64073599
Lompoc,OBV,LOMPOC,C,-120.4712664,34.66094921
Long Beach,LGB,LONG BEACH,C,-118.1518128,33.78984417
Long Beach,OWC,LONG BEACH,W,-124.0542091,46.35639263
Longview,OCR,LONGVIEW,W,-122.9621433,46.14751653
Los Alamitos,OLA,LOS ALAMITOS,C,-118.0588159,33.80297616
Los Altos,OSF,LOS ALTOS,C,-122.0960209,37.36910507
Los Angeles,OLA,LOS ANGELES,C,-118.2433318,34.05223314
Los Angeles Area,LAA,LOS ANGELES AREA PORTS,C,-118.2433318,34.05223314
Los Banos,OCA,LOS BANOS,C,-120.8423231,37.066158
Los Gatos,OSF,LOS GATOS,C,-121.9643719,37.23289707
Los Molinos,OCA,LOS MOLINOS,C,-122.0998515,40.02794285
Lucia,OCM,LUCIA,C,-121.5466521,36.02063315
Lynwood,OLA,LYNWOOD,C,-118.2116368,33.93049616
Madera,OCA,MADERA,C,-120.0831682,36.96647396
Malibu,OLA,MALIBU,C,-118.7649817,34.02578218
Manhattan Beach,OLA,MANHATTAN BEACH,C,-118.3960778,33.88741517
Manteca,OCA,MANTECA,C,-121.228845,37.79913297
Marconi,OSM,MARCONI,C,-122.8761722,38.14297973
Marina,OCM,MARINA,C,-121.784921,36.6805391
Marshall,OSM,MARSHALL,C,-122.8925387,38.16314606
Martinez,OSF,MARTINEZ,C,-122.1004758,37.99386501
Martins Beach,OSF,MARTINS BEACH,C,-122.4068881,37.37620456
Marysville,OCA,MARYSVILLE,C,-121.5833467,39.15431488
McCloud,OCA,MCCLOUD,C,-122.1361954,41.25229376
McKinleyville,OHB,MCKINLEYVILLE,C,-124.1008201,40.95623795
